Unified TX Categories,Correlation,Count,Subtotal Reawrd
Asset Transfer,0.25176749434192464,22.0,3.449208
Blue Chip Only Swap,0.14101840749414576,86.0,48.94957758070001
Builder Payment,-0.093370905270393,54.0,18.40805987897
Complex Blue Chip Arb,-0.04551376589387064,121.0,49.552271977850005
Complex Blue Chip Swap,-0.11669065803653109,41.0,53.037373527
Complex Blue Chip Swap (Buy),-0.1456187987191215,85.0,45.53105489725
Complex Blue Chip Swap (Flashloan),-1.0,2.0,0.4024346033
Complex Blue Chip Swap (Sell),-0.08450548435459009,31.0,7.862342752380001
Failed Swap,,1.0,0.182638868
Liquidation,0.9999999999999999,2.0,13.256986983000001
MEV BOT Call,,1.0,22.00001339
Remove LIquidity and Borrow,,1.0,0.1284600525
Simple Blue Chip Arb,-0.004362412923667171,16.0,3.90513129723
Simple Blue Chip Swap (Buy),0.06414515395119881,131.0,63.95060995490001
Simple Blue Chip Swap (Sell),-0.05068483742060289,38.0,20.460401385620003
TG Complex Blue Chip Swap (Buy),0.16465703047639363,44.0,7.964368380499999
TG Complex Blue Chip Swap (Sell),-0.607381072672418,3.0,0.3884290953
TG NFT Complex Blue Chip Swap (Buy),-0.9116107954976913,3.0,1.1166128904
TG NFT Simple Blue Chip Swap(Buy),-0.8532554271723854,5.0,15.751034273000002
TG Simple Blue Chip Swap (Buy),-0.12414467809506237,45.0,280.38716035400006
